URL,url_length,num_digits,num_special_chars,num_subdomains,https
http://g551006.cc/,18,6,5,1,0
http://matinsh2001.github.io/Instagram/index.html,49,4,8,3,0
https://case-id-1000228258372.counselschambers.co.uk/,53,13,9,3,1
https://www.mobilllepayylasuomii.com/,37,0,6,2,1
http://5510066.vip/,19,7,5,1,0
http://m.bdqmgdc.cn/,20,0,6,2,0
http://worker-spring-lab-06fd.farshad2000372463.workers.dev/,60,12,10,3,0
https://adstudionexcode-lime.vercel.app/get_help,48,0,8,2,1
https://currently301.weebly.com/,32,3,6,2,1
https://currentlyfoldersnew.weebly.com/,39,0,6,2,1
http://flndmy.pro/?i=Ozkof,26,0,7,1,0
https://funnelproscodebyte-phi.vercel.app/ttu&g_ep=EgoyMDI1MDMyMy4wIKXMDSoA.html,80,2,11,3,1
https://termsbreachsocialinfluence.vercel.app/ttu&g_ep=EgoyMDI1MDMyMy4wIKXMDSoA,79,2,9,2,1
https://funnelproscodebyte-phi.vercel.app/ttu&g_ep=EgoyMDI1MDMyMy4wIKXMDSoA,75,2,10,2,1
http://user.fm/files/v2-6d69ee599b97f8cb91c28520e3c43c4b/po,59,21,8,1,0
http://safety-profiles-fb-ads-156388588.vercel.app/,51,9,10,2,0
https://jonathan-id3643829576.vercel.app/hhkruu.html,52,10,8,3,1
http://hungry-fresh-glitter.glitch.me/,38,0,8,2,0
https://conversionfuelbytecore-rho.vercel.app/ttu&g_ep=EgoyMDI1MDMyMy4wIKXMDSoA,79,2,10,2,1
https://currently7642945.weebly.com/,36,7,6,2,1
http://instagram-clone-anton.vercel.app/,40,0,8,2,0
http://policy-violation-10060603.victoriakent.co.uk/,52,8,9,3,0
http://fnanlskullanhemen.vercel.app/,36,0,6,2,0
http://smogtoken-reward.pages.dev/,34,0,7,2,0
http://bt-104659.weeblysite.com/,32,6,7,2,0
https://attwebmail2334.weebly.com/,34,4,6,2,1
http://www.covidaircurtains.com/webm.ne.jp/redirect/,52,0,10,4,0
http://srreeraj.github.io/Netflix-Static-Web,44,0,8,2,0
http://kadupratik.github.io/Netflix,35,0,6,2,0
https://carrefouriramadan2.pages.dev/56497228,45,9,6,2,1
http://srihari3601.github.io/FacebookCloneusingTailwind,55,4,6,2,0
http://ethss159233.top/,23,6,5,1,0
https://pageviolationtrendfusion.vercel.app/ttu&g_ep=EgoyMDI1MDMyMy4wIKXMDSoA,77,2,9,2,1
https://pageviolationtrendfusion.vercel.app/ttu&g_ep=EgoyMDI1MDMyMy4wIKXMDSoA.html,82,2,10,3,1
https://legalnoticebrandhype.vercel.app/ttu&g_ep=EgoyMDI1MDMyMy4wIKXMDSoA,73,2,9,2,1
http://365.qwe123-asd456-zxc789.365645.top/,43,18,9,3,0
https://appealsadzone.vercel.app/ttu&g_ep=EgoyMDI1MDMyMy4wIKXMDSoA,66,2,9,2,1
http://wellsfargo-usa.godaddysites.com/,39,0,7,2,0
https://business-validations-support-with-id100049778314.vercel.app/matell.html/,80,12,12,3,1
https://socialreachtechlabs-gold.vercel.app/ttu&g_ep=EgoyMDI1MDMyMy4wIKXMDSoA,77,2,10,2,1
http://551006n.cc/,18,6,5,1,0
http://cp-codm.com/,19,0,6,1,0
https://layanan-oficiall-dana.help-web.my.id/,45,0,10,3,1
http://kuicoinlogin.weebly.com/,31,0,6,2,0
https://trezerwallet-cdn.webflow.io/,36,0,7,2,1
http://canibuseprolagni.godaddysites.com/,41,0,6,2,0
http://blockfilogi--official.webflow.io/,40,0,8,2,0
http://genminiaplosginie.godaddysites.com/,42,0,6,2,0
http://trezzre_walets.godaddysites.com/,39,0,7,2,0
http://smartie.forsa.net/,25,0,6,2,0
https://wistful-sable-gold.glitch.me/,37,0,8,2,1
http://relaxbeddingonline.xyz/,30,0,5,1,0
https://orrofun.com/landings/ro-masha2/?transaction_id=QXZGdkM4VUxJT0lxSVAweCtSTUxWdz09,87,5,11,1,1
http://apples-care-service9p4.vercel.app/,41,2,8,2,0
http://iostart-m-trezer.github.io/,34,0,8,2,0
http://upholljoyinlog.godaddysites.com/,39,0,6,2,0
http://3ggggggggggg.blogspot.tw/,32,1,6,2,0
http://javeriyasaleem.github.io/Netflix-Clone,45,0,7,2,0
http://zozo0329.github.io/loginClone,36,4,6,2,0
http://netzeroo.wixsite.com/netzero/,36,0,7,2,0
http://ing.talent-community.com/,32,0,7,2,0
https://tazeenansari2023.github.io/netflix-clone,48,4,7,2,1
